1100,1007,173,17.2
1202,308,68,22.1
1203,277,53,19.1
1204,286,40,14
1205,184,41,22.3
1206,226,47,20.8
1207,128,12,9.4
1208,182,16,8.8
1209,18,0,0
1210,186,34,18.3
1211,66,4,6.1
1212,67,15,22.4
1213,175,40,22.9
1214,102,25,24.5
1215,62,7,11.3
1216,33,3,9.1
1217,145,21,14.5
1218,17,1,5.9
1219,61,2,3.3
1220,79,13,16.5
1221,190,56,29.5
1222,41,0,0
1223,80,6,7.5
1224,189,30,15.9
1225,59,16,27.1
1226,38,1,2.6
1227,42,8,19
1228,77,17,22.1
1229,54,10,18.5
1230,94,8,8.5
1231,101,16,15.8
1233,47,4,8.5
1234,90,12,13.3
1235,97,8,8.2
1236,37,4,10.8
1303,42,2,4.8
1304,14,1,7.1
1331,23,3,13
1332,10,0,0
1333,7,1,14.3
1334,13,0,0
1337,24,4,16.7
1343,14,1,7.1
1345,47,2,4.3
1346,56,7,12.5
1347,18,1,5.6
1361,15,3,20
1362,13,1,7.7
1363,11,4,36.4
1364,19,2,10.5
1367,19,2,10.5
1370,16,1,6.3
1371,16,3,18.8
1391,9,1,11.1
1392,21,2,9.5
1393,10,0,0
1394,10,1,10
1395,0,0,0
1396,10,0,0
1397,10,0,0
1398,9,0,0
1399,13,2,15.4
1400,48,8,16.7
1401,12,1,8.3
1402,33,4,12.1
1403,13,2,15.4
1404,9,0,0
1405,12,3,25
1406,11,2,18.2
1407,13,1,7.7
1408,25,1,4
1409,8,1,12.5
1423,13,2,15.4
1424,41,12,29.3
1425,12,4,33.3
1427,13,2,15.4
1428,17,3,17.6
1429,20,3,15
1430,10,2,20
1431,7,2,28.6
1432,20,0,0
1433,9,0,0
1434,11,1,9.1
1436,8,1,12.5
1437,12,3,25
1438,12,1,8.3
1452,13,0,0
1453,18,1,5.6
1454,16,1,6.3
1455,11,0,0
1456,10,2,20
1457,0,0,0
1458,43,10,23.3
1459,31,6,19.4
1460,16,1,6.3
1461,32,6,18.8
1462,11,2,18.2
1463,11,2,18.2
1464,14,3,21.4
1465,15,4,26.7
1468,18,3,16.7
1469,10,0,0
1470,5,1,20
1471,6,1,16.7
1472,5,0,0
1481,18,0,0
1482,14,1,7.1
1483,19,0,0
1484,15,0,0
1485,8,1,12.5
1486,9,0,0
1487,19,4,21.1
1511,13,0,0
1512,16,0,0
1513,18,1,5.6
1514,30,6,20
1516,17,1,5.9
1517,14,1,7.1
1518,11,1,9.1
1519,14,1,7.1
1520,8,0,0
1543,61,7,11.5
1544,18,6,33.3
1545,36,9,25
1546,13,2,15.4
1547,17,3,17.6
1549,19,3,15.8
1550,11,0,0
1552,15,3,20
1555,32,1,3.1
1559,25,2,8
1560,16,2,12.5
1561,16,1,6.3
1562,7,0,0
1563,22,2,9.1
1564,23,1,4.3
1571,13,2,15.4
1575,10,0,0
1578,25,3,12
1581,19,2,10.5
1584,22,2,9.1
1585,22,0,0
1586,18,1,5.6
1601,30,4,13.3
1602,18,1,5.6
1604,18,1,5.6
1607,33,2,6.1
1608,15,0,0
1609,15,1,6.7
1610,34,5,14.7
1631,46,3,6.5
1632,20,3,15
1633,16,1,6.3
1634,22,1,4.5
1635,12,0,0
1636,18,2,11.1
1637,21,2,9.5
1638,25,4,16
1639,14,0,0
1641,22,3,13.6
1642,16,1,6.3
1643,43,9,20.9
1644,25,1,4
1645,9,1,11.1
1646,25,2,8
1647,10,1,10
1648,11,0,0
1649,16,1,6.3
1661,27,2,7.4
1662,22,2,9.1
1663,22,2,9.1
1664,22,2,9.1
1665,19,0,0
1667,12,1,8.3
1668,23,2,8.7
1691,53,8,15.1
1692,84,21,25
1693,32,2,6.3
1694,16,3,18.8
2201,234,41,17.5
2202,95,8,8.4
2203,255,54,21.2
2204,64,12,18.8
2205,59,6,10.2
2206,93,28,30.1
2207,117,26,22.2
2208,115,27,23.5
2209,59,3,5.1
2210,33,3,9.1
2301,36,7,19.4
2303,7,0,0
2304,9,2,22.2
2307,13,3,23.1
2321,10,0,0
2323,19,1,5.3
2343,9,1,11.1
2361,16,1,6.3
2362,16,5,31.3
2367,11,1,9.1
2381,18,2,11.1
2384,11,1,9.1
2387,14,3,21.4
2401,13,2,15.4
2402,20,1,5
2405,13,1,7.7
2406,13,3,23.1
2408,18,0,0
2411,18,4,22.2
2412,27,5,18.5
2423,11,0,0
2424,28,0,0
2425,18,0,0
2426,10,1,10
2441,19,2,10.5
2442,16,1,6.3
2443,12,0,0
2445,22,2,9.1
2446,11,5,45.5
2450,12,4,33.3
3201,157,28,17.8
3202,53,2,3.8
3203,44,7,15.9
3205,77,17,22.1
3206,59,8,13.6
3207,56,11,19.6
3208,46,8,17.4
3209,128,33,25.8
3210,24,2,8.3
3211,47,8,17
3213,51,10,19.6
3214,18,3,16.7
3215,87,23,26.4
3216,48,11,22.9
3301,22,2,9.1
3302,12,2,16.7
3303,16,3,18.8
3321,30,1,3.3
3322,16,2,12.5
3366,13,3,23.1
3381,16,5,31.3
3402,14,4,28.6
3441,11,3,27.3
3461,21,4,19
3482,16,3,18.8
3483,18,0,0
3484,17,2,11.8
3485,11,0,0
3501,15,2,13.3
3503,9,1,11.1
3506,10,0,0
3507,26,3,11.5
3524,16,1,6.3
4100,1053,208,19.8
4202,166,30,18.1
4203,78,18,23.1
4205,100,31,31
4206,32,7,21.9
4207,47,10,21.3
4208,35,11,31.4
4209,57,9,15.8
4211,32,4,12.5
4212,167,48,28.7
4213,193,57,29.5
4214,36,1,2.8
4215,264,70,26.5
4216,44,13,29.5
4301,23,7,30.4
4302,17,4,23.5
4321,24,9,37.5
4322,26,4,15.4
4323,22,4,18.2
4324,22,2,9.1
4341,28,5,17.9
4361,50,13,26
4362,21,5,23.8
4401,17,2,11.8
4404,20,3,15
4406,29,3,10.3
4421,23,4,17.4
4422,14,0,0
4424,15,5,33.3
4444,13,1,7.7
4445,36,7,19.4
4501,41,24,58.5
4505,30,5,16.7
4581,11,2,18.2
4606,32,13,40.6
5201,226,42,18.6
5202,58,10,17.2
5203,142,35,24.6
5204,69,15,21.7
5206,43,10,23.3
5207,46,4,8.7
5209,46,12,26.1
5210,96,8,8.3
5211,32,9,28.1
5212,155,45,29
5213,47,7,14.9
5214,52,16,30.8
5215,132,36,27.3
