1100,67,7,10.4
1202,45,4,8.9
1203,30,6,20
1204,28,5,17.9
1205,35,1,2.9
1206,38,7,18.4
1207,27,5,18.5
1208,43,3,7
1209,26,4,15.4
1210,26,1,3.8
1211,,,
1212,27,2,7.4
1213,40,4,10
1214,31,3,9.7
1215,25,2,8
1216,22,1,4.5
1217,33,2,6.1
1218,22,2,9.1
1219,31,3,9.7
1220,23,0,0
1221,39,3,7.7
1222,19,1,5.3
1223,23,1,4.3
1224,36,3,8.3
1225,25,2,8
1226,24,1,4.2
1227,15,1,6.7
1228,24,1,4.2
1229,32,1,3.1
1230,29,1,3.4
1231,32,2,6.3
1233,22,0,0
1234,27,3,11.1
1235,28,6,21.4
1236,31,1,3.2
1303,23,1,4.3
1304,14,0,0
1331,19,0,0
1332,19,0,0
1333,37,0,0
1334,18,0,0
1337,19,0,0
1343,5,0,0
1345,14,0,0
1346,27,0,0
1347,18,0,0
1361,17,1,5.9
1362,18,0,0
1363,15,0,0
1364,19,1,5.3
1367,19,2,10.5
1370,10,1,10
1371,35,3,8.6
1391,23,0,0
1392,21,2,9.5
1393,25,1,4
1394,30,1,3.3
1395,7,1,14.3
1396,,,
1397,13,1,7.7
1398,11,0,0
1399,6,0,0
1400,29,2,6.9
1401,24,1,4.2
1402,25,2,8
1403,24,2,8.3
1404,20,1,5
1405,,,
1406,16,1,6.3
1407,21,1,4.8
1408,20,1,5
1409,8,0,0
1423,21,0,0
1424,22,1,4.5
1425,18,0,0
1427,21,1,4.8
1428,30,0,0
1429,24,1,4.2
1430,31,3,9.7
1431,21,0,0
1432,29,1,3.4
1433,23,0,0
1434,,,
1436,,,
1437,20,0,0
1438,,,
1452,,,
1453,,,
1454,24,1,4.2
1455,15,0,0
1456,23,0,0
1457,27,0,0
1458,26,0,0
1459,24,1,4.2
1460,25,3,12
1461,24,3,12.5
1462,20,1,5
1463,0,0,0
1464,19,1,5.3
1465,14,0,0
1468,,,
1469,23,0,0
1470,20,0,0
1471,20,0,0
1472,17,0,0
1481,17,0,0
1482,17,0,0
1483,,,
1484,28,0,0
1485,14,0,0
1486,,,
1487,22,0,0
1511,17,1,5.9
1512,23,0,0
1513,11,0,0
1514,22,1,4.5
1516,21,0,0
1517,0,0,0
1518,26,1,3.8
1519,,,
1520,18,0,0
1543,27,2,7.4
1544,19,2,10.5
1545,11,0,0
1546,16,1,6.3
1547,19,0,0
1549,18,1,5.6
1550,5,0,0
1552,20,1,5
1555,17,1,5.9
1559,,,
1560,35,3,8.6
1561,28,2,7.1
1562,23,1,4.3
1563,15,2,13.3
1564,,,
1571,,,
1575,17,0,0
1578,28,3,10.7
1581,,,
1584,25,3,12
1585,17,0,0
1586,27,1,3.7
1601,42,2,4.8
1602,,,
1604,19,1,5.3
1607,22,1,4.5
1608,27,2,7.4
1609,16,1,6.3
1610,26,2,7.7
1631,33,5,15.2
1632,24,3,12.5
1633,17,1,5.9
1634,17,0,0
1635,23,1,4.3
1636,22,3,13.6
1637,27,5,18.5
1638,20,3,15
1639,11,0,0
1641,23,3,13
1642,24,0,0
1643,32,6,18.8
1644,27,0,0
1645,22,2,9.1
1646,19,0,0
1647,24,1,4.2
1648,15,0,0
1649,17,0,0
1661,27,1,3.7
1662,23,0,0
1663,22,4,18.2
1664,16,2,12.5
1665,21,1,4.8
1667,18,0,0
1668,,,
1691,17,0,0
1692,19,0,0
1693,17,1,5.9
1694,20,0,0
2201,34,4,11.8
2202,34,4,11.8
2203,35,3,8.6
2204,20,1,5
2205,29,4,13.8
2206,18,2,11.1
2207,31,2,6.5
2208,25,9,36
2209,19,0,0
2210,20,1,5
2301,17,1,5.9
2303,19,0,0
2304,19,2,10.5
2307,17,1,5.9
2321,15,0,0
2323,13,0,0
2343,10,0,0
2361,11,0,0
2362,10,0,0
2367,11,0,0
2381,19,0,0
2384,,,
2387,0,0,0
2401,20,1,5
2402,19,0,0
2405,17,0,0
2406,16,0,0
2408,19,1,5.3
2411,20,1,5
2412,17,2,11.8
2423,16,0,0
2424,19,2,10.5
2425,17,0,0
2426,,,
2441,14,1,7.1
2442,21,3,14.3
2443,,,
2445,20,2,10
2446,19,0,0
2450,18,2,11.1
3201,53,15,28.3
3202,43,4,9.3
3203,41,6,14.6
3205,35,7,20
3206,40,6,15
3207,32,5,15.6
3208,30,6,20
3209,34,12,35.3
3210,25,3,12
3211,38,14,36.8
3213,34,5,14.7
3214,32,5,15.6
3215,47,6,12.8
3216,33,5,15.2
3301,37,4,10.8
3302,20,1,5
3303,20,2,10
3321,38,4,10.5
3322,53,8,15.1
3366,35,5,14.3
3381,36,6,16.7
3402,26,2,7.7
3441,24,2,8.3
3461,33,6,18.2
3482,32,3,9.4
3483,33,5,15.2
3484,24,5,20.8
3485,30,2,6.7
3501,27,3,11.1
3503,27,6,22.2
3506,28,2,7.1
3507,35,2,5.7
3524,29,2,6.9
4100,42,7,16.7
4202,64,14,21.9
4203,31,4,12.9
4205,45,13,28.9
4206,33,3,9.1
4207,41,13,31.7
4208,30,4,13.3
4209,29,2,6.9
4211,34,8,23.5
4212,34,2,5.9
4213,48,2,4.2
4214,36,6,16.7
4215,55,4,7.3
4216,27,8,29.6
4301,15,3,20
4302,18,0,0
4321,20,1,5
4322,18,0,0
4323,,,
4324,20,3,15
4341,,,
4361,29,5,17.2
4362,30,4,13.3
4401,17,0,0
4404,19,3,15.8
4406,19,3,15.8
4421,23,1,4.3
4422,19,2,10.5
4424,14,1,7.1
4444,,,
4445,26,3,11.5
4501,23,0,0
4505,24,5,20.8
4581,21,1,4.8
4606,24,3,12.5
5201,51,7,13.7
5202,39,8,20.5
5203,49,9,18.4
5204,45,3,6.7
5206,27,3,11.1
5207,35,11,31.4
5209,27,5,18.5
5210,38,3,7.9
5211,,,
