1100,0,3,0,0
1202,0,1,1,50
1203,0,1,0,0
1204,0,3,0,0
1205,0,2,0,0
1206,0,2,0,0
1207,0,2,0,0
1208,0,1,0,0
1209,0,1,0,0
1210,0,2,0,0
1211,0,1,0,0
1212,0,1,0,0
1213,0,2,0,0
1214,0,1,0,0
1215,0,1,0,0
1216,0,1,0,0
1217,0,1,0,0
1218,0,1,0,0
1219,0,1,0,0
1220,0,1,0,0
1221,0,1,0,0
1222,0,1,0,0
1223,0,1,0,0
1224,0,1,0,0
1225,0,1,0,0
1226,0,1,0,0
1227,0,1,0,0
1228,0,1,0,0
1229,0,1,0,0
1230,0,1,0,0
1231,0,1,0,0
1233,0,1,0,0
1234,0,1,0,0
1235,0,1,0,0
1236,0,1,0,0
1303,0,1,0,0
1304,0,1,0,0
1331,0,1,0,0
1332,0,1,0,0
1333,0,1,0,0
1334,0,1,0,0
1337,0,1,0,0
1343,0,1,0,0
1345,0,1,0,0
1346,0,1,0,0
1347,0,1,0,0
1361,0,1,0,0
1362,0,1,0,0
1363,0,1,0,0
1364,0,1,0,0
1367,0,1,0,0
1370,0,1,0,0
1371,0,1,0,0
1391,0,0,0,0
1392,0,1,0,0
1393,0,1,0,0
1394,0,1,0,0
1395,0,1,0,0
1396,0,1,0,0
1397,1,1,0,0
1398,0,0,0,0
1399,0,1,0,0
1400,0,2,0,0
1401,0,1,0,0
1402,0,1,0,0
1403,0,1,0,0
1404,0,1,0,0
1405,0,1,0,0
1406,0,1,0,0
1407,0,1,0,0
1408,0,1,0,0
1409,0,1,0,0
1423,0,1,0,0
1424,0,1,0,0
1425,0,1,0,0
1427,0,1,0,0
1428,0,1,0,0
1429,0,1,0,0
1430,0,1,0,0
1431,0,1,0,0
1432,0,1,0,0
1433,0,1,0,0
1434,0,1,0,0
1436,0,1,0,0
1437,0,1,0,0
1438,0,1,0,0
1452,0,1,0,0
1453,0,1,0,0
1454,0,1,0,0
1455,0,1,0,0
1456,0,1,0,0
1457,0,1,0,0
1458,0,2,0,0
1459,0,1,0,0
1460,0,1,0,0
1461,0,1,0,0
1462,0,1,0,0
1463,0,1,0,0
1464,0,1,0,0
1465,0,1,0,0
1468,0,1,0,0
1469,0,1,0,0
1470,0,1,0,0
1471,0,1,0,0
1472,0,1,0,0
1481,0,1,0,0
